task,task_name,phase,model,fair_model_name,input,source,accuracy,macro_f1,accuracy_percent,macro_f1_percent,num_test_samples,num_test_videos,expected_test_samples,expected_test_videos,sample_count_matches_expected,video_count_matches_expected,best_epoch,best_val_macro_f1,mean_gate,std_gate,min_gate,max_gate,result_path,Not_Fall_precision,Not_Fall_recall,Not_Fall_f1,Not_Fall_support,Fall_precision,Fall_recall,Fall_f1,Fall_support,Sitting_precision,Sitting_recall,Sitting_f1,Sitting_support,Sleeping_precision,Sleeping_recall,Sleeping_f1,Sleeping_support,Standing_precision,Standing_recall,Standing_f1,Standing_support,Walking_precision,Walking_recall,Walking_f1,Walking_support,rank_by_macro_f1
action,Action Classification,Phase 2,2D+3D Concat Fusion,Phase 2 - Concat Common,2D pose + estimated 3D pose,Phase 3 common-set rerun,0.9864,0.9751,98.64,97.50999999999999,2053,367,2053,367,True,True,,,,,,,phase3_common_set_fair_result,,,,,,,,,,,,,,,,,,,,,,,,,1
action,Action Classification,Phase 3,Gated Fusion,Phase 3 - Gated Fusion,2D pose + estimated 3D pose,Phase 3 common-set evaluation,0.9781,0.9618,97.81,96.17999999999999,2053,367,2053,367,True,True,,,0.4663,,,,phase3_common_set_fair_result,,,,,,,,,,,,,,,,,,,,,,,,,2
action,Action Classification,Phase 4,Quality-Aware Gated Fusion,Phase 4 - Quality-Gated,2D pose + 3D pose + quality features,Phase 4 training,0.9790550414028252,0.9596192511173829,97.90550414028252,95.96192511173828,2053,367,2053,367,True,True,12.0,0.9694999153197894,0.5074332356452942,0.0651983767747879,0.3051677644252777,0.7651516199111938,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase4_quality_aware_fusion\outputs\training_quality_gated\results_quality_gated_action.json,,,,,,,,,0.9268817204301075,0.9930875576036866,0.9588431590656284,434.0,0.9970845481049563,0.9633802816901409,0.9799426934097422,355.0,0.965034965034965,0.8466257668711656,0.9019607843137255,163.0,0.9972776769509982,0.9981834695731153,0.9977303676804358,1101.0,3
action,Action Classification,Phase 4,Quality-Concat Fusion,Phase 4 - Quality-Concat,2D pose + 3D pose + quality features,Phase 4 ablation,0.9780808572820263,0.9573095908765012,97.80808572820263,95.73095908765012,2053,367,2053,367,True,True,7.0,0.9688687624923424,0.5,0.0,0.5,0.5,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase4_quality_aware_fusion\outputs\training_quality_gated\results_quality_concat_action.json,,,,,,,,,0.9423503325942351,0.9792626728110599,0.96045197740113,434.0,0.985632183908046,0.9661971830985916,0.9758179231863442,355.0,0.9276315789473685,0.8650306748466258,0.8952380952380953,163.0,0.9972776769509982,0.9981834695731153,0.9977303676804358,1101.0,4
action,Action Classification,Phase 2,3D Upgrade,Phase 2 - 3D Common,Estimated 3D pose,Phase 3 common-set rerun,0.9679,0.947,96.78999999999999,94.69999999999999,2053,367,2053,367,True,True,,,,,,,phase3_common_set_fair_result,,,,,,,,,,,,,,,,,,,,,,,,,5
action,Action Classification,Phase 1,2D Baseline,Phase 1 - 2D Common,2D pose,Phase 3 common-set rerun,0.9698,0.9436,96.98,94.36,2053,367,2053,367,True,True,,,,,,,phase3_common_set_fair_result,,,,,,,,,,,,,,,,,,,,,,,,,6
binary,Binary Fall Detection,Phase 4,Quality-Concat Fusion,Phase 4 - Quality-Concat,2D pose + 3D pose + quality features,Phase 4 ablation,0.9615514333895447,0.9546170057132546,96.15514333895447,95.46170057132545,2965,812,2965,812,True,True,19.0,0.9405549300525574,0.5,0.0,0.5,0.5,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase4_quality_aware_fusion\outputs\training_quality_gated\results_quality_concat_binary.json,0.9681313375181072,0.976619581100828,0.972356935014549,2053.0,0.9463087248322147,0.9276315789473685,0.9368770764119602,912.0,,,,,,,,,,,,,,,,,1
binary,Binary Fall Detection,Phase 4,Quality-Aware Gated Fusion,Phase 4 - Quality-Gated,2D pose + 3D pose + quality features,Phase 4 training,0.9534569983136594,0.9450284443575057,95.34569983136593,94.50284443575056,2965,812,2965,812,True,True,13.0,0.9388216902115617,0.5082347393035889,0.049757543951272964,0.30614498257637024,0.6956262588500977,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase4_quality_aware_fusion\outputs\training_quality_gated\results_quality_gated_binary.json,0.9618909792571153,0.9712615684364345,0.9665535627726611,2053.0,0.9338565022421524,0.9133771929824561,0.9235033259423503,912.0,,,,,,,,,,,,,,,,,2
binary,Binary Fall Detection,Phase 2,2D+3D Concat Fusion,Phase 2 - Concat Common,2D pose + estimated 3D pose,Phase 3 common-set rerun,0.9393,0.9299,93.93,92.99,2965,812,2965,812,True,True,,,,,,,phase3_common_set_fair_result,,,,,,,,,,,,,,,,,,,,,,,,,3
binary,Binary Fall Detection,Phase 3,Gated Fusion,Phase 3 - Gated Fusion,2D pose + estimated 3D pose,Phase 3 common-set evaluation,0.9379,0.9281,93.78999999999999,92.81,2965,812,2965,812,True,True,,,0.4837,,,,phase3_common_set_fair_result,,,,,,,,,,,,,,,,,,,,,,,,,4
binary,Binary Fall Detection,Phase 1,2D Baseline,Phase 1 - 2D Common,2D pose,Phase 3 common-set rerun,0.9346,0.9234,93.46,92.34,2965,812,2965,812,True,True,,,,,,,phase3_common_set_fair_result,,,,,,,,,,,,,,,,,,,,,,,,,5
binary,Binary Fall Detection,Phase 2,3D Upgrade,Phase 2 - 3D Common,Estimated 3D pose,Phase 3 common-set rerun,0.9272,0.914,92.72,91.4,2965,812,2965,812,True,True,,,,,,,phase3_common_set_fair_result,,,,,,,,,,,,,,,,,,,,,,,,,6
