,count,mean,std,min,5%,25%,50%,75%,95%,max
mean_confidence,2888.0,0.755768892709427,0.18047176346701155,0.0,0.36007577627897264,0.7206374406814575,0.7959055006504059,0.8679114431142807,0.9361321330070496,0.9654857516288757
min_confidence,2888.0,0.05440061857046397,0.09687234399699335,0.0,0.0,0.004542951355688274,0.01850457489490509,0.050568350590765476,0.2677682712674143,0.6537837386131287
std_confidence,2888.0,0.27148906206080065,0.08287935778248731,0.0,0.12592868357896805,0.21858350560069084,0.2824036478996277,0.33047065883874893,0.39549742043018343,0.47797664999961853
missing_joint_ratio,2888.0,0.16563760053861107,0.18484343379589604,0.0,0.0019607844296842813,0.05882352963089943,0.11764705926179886,0.19354838132858276,0.5744544506072999,1.0
low_conf_01_ratio,2888.0,0.10564052998058471,0.1831297131743565,0.0,0.0,0.0117647061124444,0.05000000074505806,0.0990196093916893,0.5164247483015066,1.0
low_conf_02_ratio,2888.0,0.13802269894730168,0.18337870131852863,0.0,0.0,0.03921568766236305,0.08725490421056747,0.1509803980588913,0.5533206850290305,1.0
low_conf_03_ratio,2888.0,0.16563760053861107,0.18484343379589604,0.0,0.0019607844296842813,0.05882352963089943,0.11764705926179886,0.19354838132858276,0.5744544506072999,1.0
low_conf_05_ratio,2888.0,0.21361485771476735,0.18845847947952588,0.0,0.0313725508749485,0.09309772402048111,0.1720588281750679,0.25784313678741455,0.6293168902397157,1.0
mean_bbox_conf,2888.0,0.8152441646432287,0.20128841375050954,0.0,0.29946662634611126,0.8264056295156479,0.9029319584369659,0.9172395020723343,0.9308299362659455,0.9526854157447815
min_bbox_conf,2888.0,0.655859410824703,0.3401286498396598,0.0,0.0,0.41073134541511536,0.8562517166137695,0.894263744354248,0.9173918038606643,0.9494813680648804
multi_person_ratio,2888.0,0.03129635398002687,0.1177503455704666,0.0,0.0,0.0,0.0,0.0,0.19354838132858276,0.9666666388511658
bbox_aspect_mean,2888.0,0.7010434057274602,0.5000038137103052,0.2155950516462326,0.3045837104320526,0.3812936022877693,0.5035236179828644,0.8229255378246307,1.886693745851517,3.3110415935516357
bbox_aspect_change,2888.0,0.1623175698297129,0.21506214193898351,0.0,0.006731652608141302,0.039008340798318386,0.07450946792960167,0.1901741400361061,0.6537180781364441,1.739966630935669
bbox_area_mean,2888.0,7623.687115055042,5457.66001279639,9.999999960041972e-13,2316.20400390625,4573.6536865234375,6156.0068359375,8627.820068359375,18473.849218750005,46792.5546875
bbox_area_change,2888.0,1454.8274767276653,1656.767506363363,0.0,41.81689376831054,489.8871154785156,964.5356750488281,1728.6766662597656,4868.967407226564,15377.7841796875
bbox_center_velocity_mean,2888.0,944847.045707469,6670340.259528795,0.0,0.0007238692604005336,0.004894662881270051,0.009412631392478943,0.019047421868890524,0.8589610248804105,102679856.0
bbox_center_velocity_std,2888.0,1808784.534938698,10671840.906633291,0.0,0.0006076464604120701,0.0034862537286244333,0.006656487472355366,0.020285734441131353,1.2200067460536965,126497344.0
temporal_jitter,2888.0,0.03357846330884532,0.049666744014583895,0.0,0.003844484919682145,0.0074649740708991885,0.013752234634011984,0.03477805480360985,0.13996730819344527,0.41535457968711853
velocity_mean,2888.0,0.021299068211638135,0.026188383375403867,0.0,0.0029108101502060887,0.0068246700102463365,0.01170133100822568,0.023367159068584442,0.07653602026402954,0.2203173190355301
velocity_std,2888.0,0.027321612545661726,0.033167730982415045,0.0,0.0029600209556519983,0.006526854238472879,0.01234850287437439,0.03374256007373333,0.10595486387610441,0.20903484523296356
bone_length_mean,2888.0,0.16752012124550503,0.03659312293669127,0.0,0.09523748382925987,0.1642480418086052,0.17321933805942535,0.18143637850880623,0.21023377254605294,0.2696874737739563
bone_length_std,2888.0,0.07154850721348933,0.01654486366458794,0.0,0.05064301826059818,0.06176738627254963,0.06971294432878494,0.07948068529367447,0.10063571408390999,0.16454368829727173
bone_length_cv,2888.0,0.5016814800515231,0.527248559253452,0.0,0.2821192589959866,0.3492332313447976,0.40150964087216046,0.4685595955827796,0.9517251470124451,8.369401940560744
3d_velocity_mean,2888.0,0.09926428817670664,0.12560756053636996,0.0,0.013990598451346158,0.04357575159519911,0.06291961669921875,0.09242391400039196,0.3590653151273729,1.1238126754760742
3d_velocity_std,2888.0,0.14562173611056375,0.1938766077762079,0.0,0.013185345474630595,0.03711315803229809,0.060016926378011703,0.1669185347855091,0.6370613008737565,1.0448476076126099
3d_bone_length_mean,2888.0,2.091989218835252,0.42740783410423333,0.0,1.1387218713760376,2.1125598549842834,2.207230567932129,2.2772216796875,2.3966963291168213,2.618697166442871
3d_bone_length_std,2888.0,1.0187882971524203,0.17807148676861895,0.0,0.7645431816577911,0.9448902308940887,1.0269696116447449,1.11576709151268,1.2865639686584474,1.4749603271484375
3d_bone_length_cv,2888.0,0.5603458527438963,0.5326343073686688,0.0,0.35852856699459024,0.4271122440640246,0.4657636505414914,0.5045904604863031,0.9766583041033181,9.020011744552495
3d_z_mean,2888.0,-1.6478020796977233e-10,5.8328654401095265e-09,-2.7348013631467438e-08,-9.583492222020595e-09,-3.1668501154769046e-09,0.0,2.8049245148764612e-09,8.744936730309411e-09,3.319160768455731e-08
3d_z_std,2888.0,0.9606506363682222,0.14442058098788807,0.0,0.7405316233634949,1.0,1.0,1.0,1.0,1.0
3d_z_velocity_mean,2888.0,0.05080096711036349,0.05243781504030134,0.0,0.00952450353652239,0.02512039802968502,0.03631836548447609,0.05464451387524605,0.1493753492832184,0.46607843041419983
3d_z_velocity_std,2888.0,0.11401029621667572,0.12469456905063586,0.0,0.014112806739285588,0.03745459020137787,0.05857885256409645,0.15911253914237022,0.3945760160684586,0.730296790599823
3d_z_instability,2888.0,0.11401029621667572,0.12469456905063586,0.0,0.014112806739285588,0.03745459020137787,0.05857885256409645,0.15911253914237022,0.3945760160684586,0.730296790599823
